    15: ITEM_VARIATION_TABEMONO_PASTA
       e: ITEM_VARIATION_TABEMONO_CHOCOLATE
      24: ITEM_VARIATION_TABEMONO_NORMAL_TERM
      14: ITEM_VARIATION_TABEMONO_RICEBALL
       4: ITEM_VARIATION_TABEMONO_TEA
       7: ITEM_VARIATION_TABEMONO_EBITEN
      1c: ITEM_VARIATION_TABEMONO_STEAK
       c: ITEM_VARIATION_TABEMONO_CORNPOTAGE
      1f: ITEM_VARIATION_TABEMONO_HAMBURGER
ffffffff: ITEM_VARIATION_TABEMONO_OFFSET
       0: ITEM_VARIATION_TABEMONO_CHERRIES
      21: ITEM_VARIATION_TABEMONO_DONUT
       3: ITEM_VARIATION_TABEMONO_PANCAKE
       f: ITEM_VARIATION_TABEMONO_POPCORN
      18: ITEM_VARIATION_TABEMONO_LEMON
       2: ITEM_VARIATION_TABEMONO_MILK
       5: ITEM_VARIATION_TABEMONO_COLA
      1b: ITEM_VARIATION_TABEMONO_ROASTCHICKEN
       1: ITEM_VARIATION_TABEMONO_PEAR

 22: ITEM_VARIATION_TABEMONO_CHEESE
       6: ITEM_VARIATION_TABEMONO_SHORTCAKE
      1e: ITEM_VARIATION_TABEMONO_PIZZA
      12: ITEM_VARIATION_TABEMONO_MONTBLANC
       8: ITEM_VARIATION_TABEMONO_KUSHIYAKI
      1a: ITEM_VARIATION_TABEMONO_APPLE
      13: ITEM_VARIATION_TABEMONO_PAN
      23: ITEM_VARIATION_TABEMONO_FRANKFURTER
      10: ITEM_VARIATION_TABEMONO_SALAD
      16: ITEM_VARIATION_TABEMONO_GRAPE
      1d: ITEM_VARIATION_TABEMONO_STEAMEDBUN
       d: ITEM_VARIATION_TABEMONO_CHERRYPIE
      17: ITEM_VARIATION_TABEMONO_CANDY
       9: ITEM_VARIATION_TABEMONO_HAMBURGERSTEAK
      20: ITEM_VARIATION_TABEMONO_PINEAPPLE
       a: ITEM_VARIATION_TABEMONO_TENSHIN
      26: ITEM_VARIATION_TABEMONO_GAMEWATCHAPPLE
       b: ITEM_VARIATION_TABEMONO_HOTDOG

 11: ITEM_VARIATION_TABEMONO_KIWI
      19: ITEM_VARIATION_TABEMONO_FRIEDEGG
      25: ITEM_VARIATION_TABEMONO_DAISY
      24: ITEM_VARIATION_TABEMONO_PEACH
